"I - IV - V","C - F - G","very_common","rock,blues","energetic,classic","Twist and Shout (The Beatles), La Bamba (Ritchie Valens), Wild Thing (The Troggs)"
"ii - V - I","Dm - G - C","very_common","jazz,swing","relaxed,sophisticated","Autumn Leaves (Nat King Cole), Blue Bossa (Kenny Dorham), Fly Me to the Moon (Frank Sinatra)"
"i - iv - v","Am - Dm - Em","common","blues,rock","dark,soulful","House of the Rising Sun (The Animals), Hit the Road Jack (Ray Charles), Walk on the Wild Side (Lou Reed)"
"vi - ii - V - I","Am - Dm - G - C","common","pop,jazz","uplifting,romantic","One Love (Bob Marley), What a Wonderful World (Louis Armstrong), Can't Help Falling in Love (Elvis Presley)"
"I - vi - IV - V","C - Am - F - G","very_common","pop,rock","uplifting,anthemic","Stand By Me (Ben E. King), Every Breath You Take (The Police), Unchained Melody (The Righteous Brothers)"
"IV - I - V","F - C - G","common","country,folk","happy,nostalgic","Sweet Home Alabama (Lynyrd Skynyrd), Country Roads (John Denver), Good Riddance (Green Day)"
"ii - V - i","Dm - G - Am","common","jazz,latin","mysterious,romantic","Black Orpheus (Luiz Bonfá), The Girl from Ipanema (Stan Getz), How Insensitive (Antonio Carlos Jobim)"
"i - VI - III - VII","Am - F - C - G","common","rock,metal","dark,epic","The Unforgiven (Metallica), Fade to Black (Metallica), Welcome Home (Sanitarium) (Metallica)"
"IV - V - I","F - G - C","common","rock,pop","triumphant,classic","I Want to Hold Your Hand (The Beatles), Be My Baby (The Ronettes), Sweet Caroline (Neil Diamond)"
"i - VII - VI - V","Am - G - F - E","common","rock,metal","dark,moody","Stairway to Heaven (Led Zeppelin), While My Guitar Gently Weeps (The Beatles), Hotel California (Eagles)"
"I - V - IV","C - G - F","very_common","rock,pop","energetic,uplifting","Brown Eyed Girl (Van Morrison), Stir It Up (Bob Marley), You Can't Always Get What You Want (The Rolling Stones)"
"vi - I - V","Am - C - G","common","pop,folk","melancholic,bittersweet","Tears in Heaven (Eric Clapton), With or Without You (U2), No Woman, No Cry (Bob Marley)"
"ii - IV - I","Dm - F - C","uncommon","jazz,pop","relaxed,romantic","Just the Two of Us (Bill Withers), Isn't She Lovely (Stevie Wonder), Sir Duke (Stevie Wonder)"
"I - IV - vi - V","C - F - Am - G","very_common","pop,rock","uplifting,happy","Let It Be (The Beatles), With A Little Help From My Friends (The Beatles), No Woman, No Cry (Bob Marley)"
