progression_roman,chords_example,frequency,genres,mood,example_songs
I - V - vi - IV,C - G - am - F,very_common,"pop, rock, electronic, folk","happy, uplifting, optimistic","Jar of Hearts (Christina Perri), Love the way you lie (Rihanna), Someone like you (adele), living on a prayer (bon jovi)"
I - V - vi - iii - IV,C - G - am - em - F,uncommon,"Pop, Rock, Folk","heartbreak, longing, serenity, nostalgia, and bittersweet reflection","Cryin' (Aerosmith), The Fighter (Gym Class Heroes and Ryan Tedder), Firework (Katy Perry), A Day Like This (Spongebob Squarepants)"
vi - V - IV - V,am - G - F - G,very_common,"Pop, Rock, Country","melancholy, longing, and eventual triumph or resolution","Rolling in the deep (adele), my heart will go on (Celine Dion), Girls just want to have fun (cyndi Lauper), Titanium feat Sia (David Guetta), Somebody that I used to know (gotye)"
I - vi - IV - V,C - am - F - G,common,"pop, rock, R&B, ballads, turnarounds, folk","happy, hopeful, bittersweet, emotional, nostalgic, anthemic","Girl on Fire (alicia Keys), Complicated (Avril Lavigne), Stand by me (ben e king), boom clap (charli XCX) Lucky (Britney Spears), Baby (Justin Bieber) "
I - IV - vi - V,C - F - am - G,common,"Pop, Indie, Rock, Hip Hop, R&B","bright, uplifting, and a little less predictable, often associated with pop, rock, and ballads","Break Free ft Zedd (Ariana Grande), Santa Tell Me (Ariana Grande), Summer of 69 (Bryan Adams), That's the way it is (Celine Dion), Home (Daughtry), Stone Cold (demi lovato)"
I - V - IV - V,C - G - F - G,common,"Rock, Blues, pop, country, folk","upbeat, familiar, and resolved mood","Take on Me (A-ha), Grenade (bruno mars), Everything I do (Bryan Adams), With you (Chris Brown), I'll make a man out of you (Disney), 21 guns (Greenday), your body is a wonderland (john mayer), stairway to heaven (led zeppelin)"
IV - ii - I6/4 - V - I,F - dm - C/G - G - C,common,"classical, jazz, baroque, pop & rock","determined, majestic, and conclusive, with a powerful sense of finality","I don't want to miss a thing (Aerosmith), Dancing in the dark (bruce springsteen), when I was your man (bruno mars), a thousand years (christina perri), your song (elton john)"
I - V6 - vi - V,C - G/B - am - G,very_common,"pop, rock, gospel","hopeful, bittersweet emotion or nostalgia","mamma mia (abba), this is what it feels like (armin van buuren), no woman no cry (bob marley), circus (britney spears), can you feel the love tonight (elton john), you're beautiful (james blunt) "
I - ii7 - I6 - IV,C - dm7 - C/E - F,not common,"jazz, R&B, pop, soul, indie","sweet, flowing, and mellow with a gentle sense of motion","THe night is still young (nicki minaj), don't stop me now (queen), blackbird (the beatles), find you (zedd)"
I - iii6/4 - vi - IV,C - em/B - am - F,not common,"pop, punk, rock, indie, ballads, R&B, indie folk","creates a journey from stability to wistful longing. It begins on a cheerful note, takes a slightly reflective turn, and ends with a feeling of gentle, open resolution. bittersweet or sentimental, blending hope with a touch of melancholy. ","When we were young (Adele), when I was your man (bruno mars), someone like you (adele), thank you (dido), I can go the distance (disney), for the first time in forever (kristen bell & idina menzel) "
