progression_roman,chords_example,frequency,genres,mood,example_songs
I - V - vi - iii,C - G - Am - Em,common,"pop, rock","uplifting, anthemic","Hey Soul Sister (Train), Let Her Go (Passenger), I'm Yours (Jason Mraz)"
I - IV - V - I,C - F - G - C,very_common,"rock, pop","energetic, classic","Twist and Shout (The Beatles), La Bamba (Ritchie Valens), Wild Thing (The Troggs)"
vi - I - V - IV,Am - C - G - F,common,"pop, rock","uplifting, hopeful","With Or Without You (U2), Africa (Toto), If I Were A Boy (Beyoncé)"
IV - iii - ii - I,F - Em - Dm - C,uncommon,"pop, indie","melancholic, dreamy","Sitting, Waiting, Wishing (Jack Johnson), The Scientist (Coldplay)"
V - IV - I - vi,G - F - C - Am,common,"rock, pop","energetic, anthemic","Sweet Child o' Mine (Guns N' Roses), Free Fallin' (Tom Petty)"
ii - I - V - IV,Dm - C - G - F,uncommon,"indie, pop","reflective, gentle","I See Fire (Ed Sheeran), All of Me (John Legend)"
vi - IV - I - iii,Am - F - C - Em,common,"pop, indie","uplifting, hopeful","She Will Be Loved (Maroon 5), Demons (Imagine Dragons)"
I - iii - IV - V,C - Em - F - G,common,"pop, rock","bright, optimistic","Oh Pretty Woman (Roy Orbison), Runaway (The Corrs)"
ii - V - I - vi,Dm - G - C - Am,uncommon,"jazz, pop","smooth, relaxed","Autumn Leaves (Eric Clapton), Jazz Standard (Various)"
V - I - IV - I,G - C - F - C,common,"rock, pop","energetic, classic","Louie Louie (The Kingsmen), Hang On Sloopy (The McCoys)"
vi - V - IV - I,Am - G - F - C,common,"pop, indie","melancholic, hopeful","Someone Like You (Adele), The Scientist (Coldplay)"
ii - IV - I - vi,Dm - F - C - Am,uncommon,"indie, pop","reflective, soft","All of Me (John Legend), Skinny Love (Bon Iver)"
iii - IV - I - V,Em - F - C - G,uncommon,"rock, pop","epic, bright","The Final Countdown (Europe), Don't Stop (Fleetwood Mac)"
IV - vi - V - I,F - Am - G - C,common,"pop, rock","uplifting, energetic","Every Breath You Take (The Police), Stand By Me (Ben E. King)"
ii - V - iii - I,Dm - G - Em - C,uncommon,"jazz, pop","smooth, jazzy","Jazz Standard (Various), L-O-V-E (Nat King Cole)"
V - vi - IV - I,G - Am - F - C,common,"pop, rock","bright, hopeful","Graduation (Vitamin C), Good Riddance (Green Day)"
IV - iii - vi - I,F - Em - Am - C,uncommon,"pop, indie","melancholic, reflective","The Night We Met (Lord Huron), The Scientist (Coldplay)"
iii - I - IV - V,Em - C - F - G,uncommon,"rock, pop","bright, uplifting","Take It Easy (Eagles), I'm A Believer (The Monkees)"
I - V - ii - IV,C - G - Dm - F,uncommon,"pop, rock","uplifting, hopeful","Perfect (Ed Sheeran), Hello (Lionel Richie)"
vi - IV - I - V,Am - F - C - G,very_common,"indie, folk","melancholic, introspective","Skinny Love (Bon Iver), Let Her Go (Passenger), All I Want (Kodaline)"
i - iv - V - i,Am - Dm - E - Am,uncommon,"folk, classical","solemn, contemplative","Greensleeves (Traditional), Nothing Else Matters (Metallica), Anji (Davy Graham)"
vi - ii - IV - V,Am - Dm - F - G,uncommon,"indie, pop","reflective, longing","Iris (Goo Goo Dolls), I'll Follow You Into The Dark (Death Cab for Cutie), The Night We Met (Lord Huron)"
ii - vi - IV - I,Dm - Am - F - C,uncommon,"folk, indie","serene, peaceful","Father And Son (Cat Stevens), The Sound Of Silence (Simon & Garfunkel), The Boxer (Simon & Garfunkel)"
vi - IV - V - I,Am - F - G - C,common,"indie, folk","hopeful, uplifting","Hey, Soul Sister (Train), The Story (Brandi Carlile), Riptide (Vance Joy)"
i - v - IV - VI,Am - Em - F - C,uncommon,"alternative, indie","moody, introspective","Love Will Tear Us Apart (Joy Division), How Soon Is Now? (The Smiths), The Killing Moon (Echo & The Bunnymen)"
ii - V - I - IV,Dm - G - C - F,uncommon,"jazz, indie","smooth, sophisticated","Fly Me To The Moon (Frank Sinatra), All The Things You Are (Ella Fitzgerald), Autumn Leaves (Chet Baker)"
vi - ii - I - V,Am - Dm - C - G,uncommon,"indie, folk","introspective, nostalgic","Home (Phillip Phillips), The Only Exception (Paramore), Heartbeats (José González)"
i - iv - VI - V,Am - Dm - F - E,uncommon,"rock, alternative","dramatic, intense","Under The Bridge (Red Hot Chili Peppers), Nothing Compares 2 U (Sinéad O'Connor), Wicked Game (Chris Isaak)"
IV - I - V - ii,F - C - G - Dm,uncommon,"folk, indie","peaceful, serene","Heartbeats (José González), The Sound Of Silence (Simon & Garfunkel), The Boxer (Simon & Garfunkel)"
vi - V - I - IV,Am - G - C - F,common,"indie, folk","hopeful, uplifting","Budapest (George Ezra), Ho Hey (The Lumineers), Little Talks (Of Monsters and Men)"
i - VI - VII - iv,Am - F - G - Dm,uncommon,"alternative, rock","dark, introspective","Space Oddity (David Bowie), Creep (Radiohead), Hurt (Nine Inch Nails)"
ii - IV - V - I,Dm - F - G - C,uncommon,"indie, folk","bright, hopeful","Let It Be (The Beatles), Blackbird (The Beatles), Norwegian Wood (The Beatles)"
i - v - VI - III,Am - Em - F - C,uncommon,"alternative, rock","melancholic, reflective","Exit Music (For a Film) (Radiohead), Hurt (Nine Inch Nails), Mad World (Tears for Fears)"
IV - vi - V - iii,F - Am - G - Em,uncommon,"indie, alternative","introspective, wistful","Banana Pancakes (Jack Johnson), The A Team (Ed Sheeran), Take Me To Church (Hozier)"
I - vi - ii - IV,C - Am - Dm - F,common,"jazz, soul","sophisticated, smooth","Just The Two Of Us (Bill Withers), Can't Help Falling In Love (Elvis Presley), Something (The Beatles)"
I - IV - ii - V,C - F - Dm - G,common,"jazz, blues","sophisticated, smooth","Don't Get Around Much Anymore (Duke Ellington), Route 66 (Nat King Cole), Satin Doll (Duke Ellington)"
vi - IV - ii - V,Am - F - Dm - G,uncommon,"soul, jazz","soulful, smooth","Ain't No Sunshine (Bill Withers), Let's Get It On (Marvin Gaye), Lovely Day (Bill Withers)"
I - iii - ii - V,C - Em - Dm - G,uncommon,"jazz, blues","sophisticated, smooth","All The Things You Are (Jerome Kern), It Could Happen To You (Jimmy Van Heusen), My Funny Valentine (Rodgers & Hart)"
IV - V - I - vi,F - G - C - Am,common,"soul, jazz","smooth, sophisticated","Under the Boardwalk (The Drifters), The Tracks of My Tears (Smokey Robinson & The Miracles), I'll Be There (The Jackson 5)"
vi - iii - IV - I,Am - Em - F - C,common,"soul, jazz","soulful, smooth","Ain't No Mountain High Enough (Marvin Gaye & Tammi Terrell), You Are the Sunshine of My Life (Stevie Wonder), I Say a Little Prayer (Aretha Franklin)"
ii - I - IV - V,Dm - C - F - G,uncommon,"jazz, soul","sophisticated, smooth","On Broadway (George Benson), This Masquerade (George Benson), The Way You Look Tonight (Frank Sinatra)"
vi - V - ii - I,Am - G - Dm - C,uncommon,"soul, jazz","soulful, smooth","You Send Me (Sam Cooke), Ain't Too Proud to Beg (The Temptations), How Sweet It Is (To Be Loved by You) (Marvin Gaye)"
I - vi - IV - ii,C - Am - F - Dm,uncommon,"jazz, blues","sophisticated, smooth","Misty (Erroll Garner), Stardust (Hoagy Carmichael), The Nearness of You (Hoagy Carmichael)"
IV - I - ii - V,F - C - Dm - G,common,"jazz, soul","smooth, sophisticated","Fever (Peggy Lee), Cry Me a River (Julie London), God Bless the Child (Billie Holiday)"
i - bVI - bVII - i,Am - F - G - Am,common,"metal, punk","dark, intense","Paranoid (Black Sabbath), Blitzkrieg Bop (Ramones), Smells Like Teen Spirit (Nirvana)"
i - iv - v - i,Am - Dm - Em - Am,common,"metal, punk","aggressive, gritty","Seek & Destroy (Metallica), Anarchy in the UK (Sex Pistols), Breaking the Law (Judas Priest)"
bVI - bVII - I - i,F - G - C - Am,uncommon,"metal, rock","dark, triumphant","Symphony of Destruction (Megadeth), For Whom The Bell Tolls (Metallica), Numb (Linkin Park)"
i - III - VII - iv,Am - C - G - Dm,uncommon,"metal, punk","urgent, rebellious","Master of Puppets (Metallica), Basket Case (Green Day), Holiday (Green Day)"
i - V - VI - VII,Am - E - F - G,common,"punk, metal","dark, driving","Iron Man (Black Sabbath), Blitzkrieg Bop (Ramones), Crazy Train (Ozzy Osbourne)"
i - VII - VI - v,Am - G - F - Em,common,"rock, punk","heavy, tense","Paint It Black (The Rolling Stones), Run to the Hills (Iron Maiden), Holiday (Green Day)"
i - iv - v - iv,Am - Dm - Em - Dm,uncommon,"metal, punk","aggressive, raw","Breaking the Law (Judas Priest), Ace of Spades (Motörhead), Killing in the Name (Rage Against the Machine)"
bVII - IV - I - V,G - D - A - E,uncommon,"rock, metal","anthemic, bold","All Along the Watchtower (Jimi Hendrix), Fortunate Son (Creedence Clearwater Revival), Sweet Child o' Mine (Guns N' Roses)"
i - VII - iv - VI,Am - G - Dm - F,uncommon,"metal, punk","brooding, intense","Enter Sandman (Metallica), Hallowed Be Thy Name (Iron Maiden), Holiday (Green Day)"
IV - I - bVII - I,F - C - Bb - C,uncommon,"hard rock, metal","bold, powerful","Thunderstruck (AC/DC), Livin' on a Prayer (Bon Jovi), Sweet Emotion (Aerosmith)"
i - bIII - iv - v,Am - C - Dm - Em,uncommon,"rock, metal","dark, driving","Paranoid (Black Sabbath), Run to the Hills (Iron Maiden), Fade to Black (Metallica)"
I - bVII - IV - V,C - Bb - F - G,common,"rock, hard rock","anthemic, energetic","Proud Mary (Creedence Clearwater Revival), Sweet Child o' Mine (Guns N' Roses), Rock You Like a Hurricane (Scorpions)"
i - ii° - V - I,Am - Bdim - E - A,uncommon,"metal, hard rock","dark, intense","The Trooper (Iron Maiden), Run to the Hills (Iron Maiden), Painkiller (Judas Priest)"
bVI - V - i - iv,F - E - Am - Dm,uncommon,"metal, punk","aggressive, somber","Holy Wars... The Punishment Due (Megadeth), Fear of the Dark (Iron Maiden), Holiday (Green Day)"
i - III - VI - VII,Am - C - F - G,uncommon,"metal, punk","urgent, aggressive","Battery (Metallica), Blitzkrieg Bop (Ramones), Holiday (Green Day)"
bVII - I - IV - V,G - C - F - G,uncommon,"punk, rock","energetic, rebellious","I Wanna Be Sedated (Ramones), Blitzkrieg Bop (Ramones), Smells Like Teen Spirit (Nirvana)"
I - IV - V - IV,C - F - G - F,very_common,"country, folk, americana","nostalgic, storytelling","Ring of Fire (Johnny Cash), Sweet Home Alabama (Lynyrd Skynyrd), Good Riddance (Green Day)"
I - vi - iii - IV,C - Am - Em - F,uncommon,"folk, country","tender, reflective","Fire and Rain (James Taylor), All of Me (John Legend), Wonderful Tonight (Eric Clapton)"
I - V - IV - I,C - G - F - C,very_common,"folk, americana","uplifting, warm","This Land Is Your Land (Woody Guthrie), Twist and Shout (The Beatles), You Can't Always Get What You Want (The Rolling Stones)"
I - ii - vi - V,C - Dm - Am - G,common,"americana, country","nostalgic, warm","Let It Be (The Beatles), The Long and Winding Road (The Beatles), You've Got a Friend (James Taylor)"
IV - vi - I - V,F - Am - C - G,uncommon,"folk, country","hopeful, peaceful","Blackbird (The Beatles), Wild Horses (The Rolling Stones), The Scientist (Coldplay)"
I - IV - ii - vi,C - F - Dm - Am,uncommon,"americana, folk","reflective, heartfelt","Bridge Over Troubled Water (Simon & Garfunkel), Don't Think Twice, It's All Right (Bob Dylan), Your Song (Elton John)"
I - V - IV - vi,C - G - F - Am,common,"pop, rock, edm","emotional, anthemic","Let It Be (The Beatles), No Woman No Cry (Bob Marley), With Or Without You (U2)"
